image_id,annotator,class,x,y,w,h
ACI024,anotador2,accident,0.868492,0.451719,0.261266,0.275688
ACI025,anotador1,accident,0.475633,0.743083,0.184203,0.149125
ACI025,anotador2,accident,0.475633,0.743083,0.184203,0.149125
ACI026,anotador1,accident,0.477047,0.752469,0.177625,0.157896
ACI026,anotador2,accident,0.477047,0.752469,0.177625,0.157896
ACI028,anotador1,accident,0.284375,0.236188,0.203937,0.132833
ACI028,anotador2,accident,0.284375,0.236188,0.203937,0.132833
ACI029,anotador1,accident,0.295188,0.241823,0.174813,0.136604
ACI029,anotador2,suspicious_behavior,0.295188,0.241823,0.174813,0.136604
ACI031,anotador1,accident,0.298477,0.241823,0.183266,0.134104
ACI031,anotador2,accident,0.298477,0.241823,0.183266,0.134104
ACI032,anotador1,accident,0.303641,0.229937,0.157906,0.130292
ACI032,anotador2,accident,0.303641,0.229937,0.157906,0.130292
ACI034,anotador1,accident,0.313508,0.248094,0.147547,0.111521
ACI034,anotador2,fire,0.313508,0.248094,0.147547,0.111521
ACI035,anotador1,accident,0.848758,0.469896,0.216172,0.251875
ACI035,anotador2,accident,0.848758,0.469896,0.216172,0.251875
ACI036,anotador1,accident,0.299883,0.253729,0.146609,0.120292
ACI036,anotador2,accident,0.299883,0.253729,0.146609,0.120292
ACI038,anotador1,accident,0.338352,0.411914,0.043484,0.052109
ACI038,anotador2,accident,0.338352,0.411914,0.043484,0.052109
ACI041,anotador1,accident,0.29693,0.414914,0.041609,0.048359
ACI041,anotador2,accident,0.29693,0.414914,0.041609,0.048359
ACI042,anotador1,accident,0.29993,0.413977,0.038609,0.046484
ACI042,anotador2,accident,0.29993,0.413977,0.038609,0.046484
ACI043,anotador1,accident,0.30218,0.416031,0.037859,0.043875
ACI043,anotador2,fall,0.30218,0.416031,0.037859,0.043875
ACI046,anotador1,accident,0.857945,0.465917,0.169766,0.21675
ACI046,anotador2,accident,0.857945,0.465917,0.169766,0.21675
ACI049,anotador1,accident,0.34332,0.588117,0.116797,0.160141
ACI049,anotador2,accident,0.34332,0.588117,0.116797,0.160141
ACI050,anotador1,accident,0.344531,0.567039,0.097531,0.137266
ACI050,anotador2,accident,0.344531,0.567039,0.097531,0.137266
ACI051,anotador1,accident,0.332484,0.561023,0.097531,0.149297
ACI051,anotador2,accident,0.332484,0.561023,0.097531,0.149297
ACI052,anotador1,accident,0.325867,0.545367,0.103547,0.144484
ACI052,anotador2,accident,0.325867,0.545367,0.103547,0.144484
ACI053,anotador1,accident,0.337305,0.53875,0.109578,0.140875
ACI053,anotador2,accident,0.337305,0.53875,0.109578,0.140875
ACI054,anotador1,accident,0.345734,0.533328,0.133656,0.146906
ACI054,anotador2,accident,0.345734,0.533328,0.133656,0.146906
ACI055,anotador1,accident,0.363797,0.501422,0.114375,0.111969
ACI055,anotador2,accident,0.363797,0.501422,0.114375,0.111969
ACI056,anotador1,accident,0.369211,0.48818,0.139672,0.126422
ACI056,anotador2,accident,0.369211,0.48818,0.139672,0.126422
ACI057,anotador1,accident,0.861109,0.482771,0.139969,0.197458
ACI057,anotador2,fire,0.861109,0.482771,0.139969,0.197458
ACI058,anotador1,accident,0.389687,0.449609,0.149375,0.128906
ACI058,anotador2,crime,0.389687,0.449609,0.149375,0.128906
ACI058,anotador1,accident,0.70093,0.450852,0.075859,0.128828
ACI058,anotador2,accident,0.70093,0.450852,0.075859,0.128828
ACI059,anotador1,accident,0.414969,0.440008,0.1445,0.126422
ACI059,anotador2,accident,0.414969,0.440008,0.1445,0.126422
ACI059,anotador1,accident,0.719594,0.449047,0.089094,0.151719
ACI059,anotador2,accident,0.719594,0.449047,0.089094,0.151719
ACI060,anotador1,accident,0.425805,0.423156,0.117984,0.090313
ACI060,anotador2,suspicious_object,0.425805,0.423156,0.117984,0.090313
ACI060,anotador1,accident,0.747297,0.439414,0.079469,0.146891
ACI060,anotador2,accident,0.747297,0.439414,0.079469,0.146891
ACI062,anotador1,accident,0.489578,0.412922,0.146969,0.132437
ACI062,anotador2,accident,0.489578,0.412922,0.146969,0.132437
ACI062,anotador1,accident,0.763539,0.414727,0.075859,0.126422
ACI062,anotador2,accident,0.763539,0.414727,0.075859,0.126422
ACI063,anotador1,accident,0.770773,0.421953,0.075859,0.109563
ACI063,anotador2,accident,0.770773,0.421953,0.075859,0.109563
ACI063,anotador1,accident,0.496242,0.411117,0.109578,0.078266
ACI063,anotador2,accident,0.496242,0.411117,0.109578,0.078266
ACI064,anotador1,accident,0.511289,0.409305,0.103547,0.093922
ACI064,anotador2,suspicious_object,0.511289,0.409305,0.103547,0.093922
ACI064,anotador1,accident,0.779797,0.441211,0.079469,0.119203
ACI064,anotador2,accident,0.779797,0.441211,0.079469,0.119203
ACI065,anotador1,accident,0.513695,0.409313,0.096328,0.077062
ACI065,anotador2,accident,0.513695,0.409313,0.096328,0.077062
ACI065,anotador1,accident,0.789289,0.436953,0.042016,0.072344
ACI065,anotador2,accident,0.789289,0.436953,0.042016,0.072344
ACI066,anotador1,accident,0.779555,0.439391,0.040484,0.073469
ACI066,anotador2,accident,0.779555,0.439391,0.040484,0.073469
ACI066,anotador1,accident,0.489398,0.411836,0.062234,0.060359
ACI066,anotador2,accident,0.489398,0.411836,0.062234,0.060359
ACI067,anotador1,accident,0.77768,0.441078,0.046484,0.078344
ACI067,anotador2,accident,0.77768,0.441078,0.046484,0.078344
ACI067,anotador1,accident,0.486961,0.411648,0.064109,0.062984
ACI067,anotador2,accident,0.486961,0.411648,0.064109,0.062984
ACI068,anotador1,accident,0.878453,0.498479,0.183125,0.185292
ACI068,anotador2,accident,0.878453,0.498479,0.183125,0.185292
ACI069,anotador1,accident,0.502727,0.413008,0.111453,0.094734
ACI069,anotador2,accident,0.502727,0.413008,0.111453,0.094734
ACI069,anotador1,accident,0.773695,0.44575,0.073828,0.098906
ACI069,anotador2,accident,0.773695,0.44575,0.073828,0.098906
ACI070,anotador1,accident,0.494203,0.409633,0.087062,0.076172
ACI070,anotador2,vandalism,0.494203,0.409633,0.087062,0.076172
ACI070,anotador1,accident,0.781047,0.439562,0.057531,0.081625
ACI070,anotador2,fall,0.781047,0.439562,0.057531,0.081625
ACI071,anotador1,accident,0.491875,0.41468,0.088625,0.083172
ACI071,anotador2,accident,0.491875,0.41468,0.088625,0.083172
ACI071,anotador1,accident,0.770555,0.437617,0.067641,0.101047
ACI071,anotador2,fall,0.770555,0.437617,0.067641,0.101047
ACI072,anotador1,accident,0.48993,0.410797,0.090953,0.067625
ACI072,anotador2,accident,0.48993,0.410797,0.090953,0.067625
ACI072,anotador1,accident,0.777164,0.441117,0.046641,0.103391
ACI072,anotador2,accident,0.777164,0.441117,0.046641,0.103391
ACI073,anotador1,accident,0.489938,0.408852,0.081625,0.059078
ACI073,anotador2,accident,0.489938,0.408852,0.081625,0.059078
ACI073,anotador1,accident,0.772883,0.439945,0.059859,0.088609
ACI073,anotador2,accident,0.772883,0.439945,0.059859,0.088609
ACI074,anotador1,accident,0.495367,0.410414,0.097172,0.059078
ACI074,anotador2,accident,0.495367,0.410414,0.097172,0.059078
ACI074,anotador1,accident,0.775992,0.432562,0.052078,0.081625
ACI074,anotador2,accident,0.775992,0.432562,0.052078,0.081625
ACI075,anotador1,accident,0.484875,0.410023,0.105719,0.064516
ACI075,anotador2,accident,0.484875,0.410023,0.105719,0.064516
ACI075,anotador1,accident,0.775609,0.437227,0.054406,0.086297
ACI075,anotador2,accident,0.775609,0.437227,0.054406,0.086297
ACI076,anotador1,accident,0.494211,0.409625,0.090172,0.055969
ACI076,anotador2,accident,0.494211,0.409625,0.090172,0.055969
ACI076,anotador1,accident,0.766664,0.432562,0.070734,0.084719
ACI076,anotador2,accident,0.766664,0.432562,0.070734,0.084719
ACI077,anotador1,accident,0.496148,0.412742,0.101828,0.069953
ACI077,anotador2,accident,0.496148,0.412742,0.101828,0.069953
ACI077,anotador1,accident,0.772492,0.438,0.059078,0.094063
ACI077,anotador2,accident,0.772492,0.438,0.059078,0.094063
ACI078,anotador1,accident,0.49382,0.410023,0.092516,0.058297
ACI078,anotador2,accident,0.49382,0.410023,0.092516,0.058297
ACI078,anotador1,accident,0.754617,0.438391,0.073078,0.107281
ACI078,anotador2,accident,0.754617,0.438391,0.073078,0.107281
ACI079,anotador1,accident,0.862156,0.490531,0.110625,0.151104
ACI079,anotador2,accident,0.862156,0.490531,0.110625,0.151104
ACI081,anotador1,accident,0.5035,0.409328,0.12175,0.069719
ACI081,anotador2,accident,0.5035,0.409328,0.12175,0.069719
ACI081,anotador1,accident,0.777711,0.433266,0.066609,0.086375
ACI081,anotador2,accident,0.777711,0.433266,0.066609,0.086375
ACI082,anotador1,accident,0.501422,0.414,0.098875,0.062438
ACI082,anotador2,accident,0.501422,0.414,0.098875,0.062438
ACI082,anotador1,accident,0.764188,0.442102,0.052031,0.081172
ACI082,anotador2,accident,0.764188,0.442102,0.052031,0.081172
ACI083,anotador1,accident,0.494133,0.411922,0.105109,0.077
ACI083,anotador2,accident,0.494133,0.411922,0.105109,0.077
ACI083,anotador1,accident,0.747539,0.437937,0.060359,0.099906
ACI083,anotador2,accident,0.747539,0.437937,0.060359,0.099906
ACI084,anotador1,accident,0.479047,0.399438,0.077,0.087406
ACI084,anotador2,fire,0.479047,0.399438,0.077,0.087406
ACI084,anotador1,accident,0.73557,0.443141,0.061391,0.099906
ACI084,anotador2,fire,0.73557,0.443141,0.061391,0.099906
ACI085,anotador1,accident,0.457711,0.389555,0.067641,0.063484
ACI085,anotador2,accident,0.457711,0.389555,0.067641,0.063484
ACI088,anotador1,accident,0.372383,0.349516,0.103016,0.091531
ACI088,anotador2,accident,0.372383,0.349516,0.103016,0.091531
ACI089,anotador1,accident,0.378625,0.352086,0.111344,0.119672
ACI089,anotador2,fall,0.378625,0.352086,0.111344,0.119672
ACI090,anotador1,accident,0.172492,0.595573,0.248984,0.325729
ACI090,anotador2,accident,0.172492,0.595573,0.248984,0.325729
ACI091,anotador1,accident,0.360938,0.350523,0.103031,0.122797
ACI091,anotador2,accident,0.360938,0.350523,0.103031,0.122797
ACI092,anotador1,accident,0.361969,0.345844,0.107187,0.098875
ACI092,anotador2,accident,0.361969,0.345844,0.107187,0.098875
ACI093,anotador1,accident,0.368219,0.34793,0.080125,0.078047
ACI093,anotador2,suspicious_behavior,0.368219,0.34793,0.080125,0.078047
ACI094,anotador1,accident,0.375508,0.35625,0.098859,0.098875
ACI094,anotador2,accident,0.375508,0.35625,0.098859,0.098875
ACI095,anotador1,accident,0.374469,0.353648,0.107187,0.087422
ACI095,anotador2,vandalism,0.374469,0.353648,0.107187,0.087422
ACI096,anotador1,accident,0.374984,0.357805,0.116563,0.091578
ACI096,anotador2,accident,0.374984,0.357805,0.116563,0.091578
ACI098,anotador1,accident,0.376023,0.355211,0.112391,0.094703
ACI098,anotador2,crime,0.376023,0.355211,0.112391,0.094703
ACI099,anotador1,accident,0.372898,0.353648,0.091578,0.095734
ACI099,anotador2,accident,0.372898,0.353648,0.091578,0.095734
ACI100,anotador1,accident,0.370297,0.355211,0.090531,0.082203
ACI100,anotador2,accident,0.370297,0.355211,0.090531,0.082203
ACI104,anotador1,accident,0.493508,0.587172,0.106141,0.086375
ACI104,anotador2,accident,0.493508,0.587172,0.106141,0.086375
ACI105,anotador1,accident,0.506555,0.614227,0.163453,0.100953
ACI105,anotador2,accident,0.506555,0.614227,0.163453,0.100953
ACI106,anotador1,accident,0.524758,0.606859,0.193484,0.110187
ACI106,anotador2,fall,0.524758,0.606859,0.193484,0.110187
ACI107,anotador1,accident,0.513672,0.632047,0.1955,0.094719
ACI107,anotador2,crime,0.513672,0.632047,0.1955,0.094719
ACI107,anotador1,accident,0.579453,0.587711,0.082656,0.071891
ACI107,anotador2,accident,0.579453,0.587711,0.082656,0.071891
ACI108,anotador1,accident,0.534875,0.630086,0.261937,0.148578
ACI108,anotador2,accident,0.534875,0.630086,0.261937,0.148578
ACI110,anotador1,accident,0.578594,0.626656,0.3,0.145813
ACI110,anotador2,accident,0.578594,0.626656,0.3,0.145813
ACI111,anotador1,accident,0.585234,0.627422,0.276406,0.142344
ACI111,anotador2,accident,0.585234,0.627422,0.276406,0.142344
ACI112,anotador1,accident,0.225523,0.401031,0.114484,0.118562
ACI112,anotador2,intrusion,0.225523,0.401031,0.114484,0.118562
ACI113,anotador1,accident,0.780117,0.478219,0.235422,0.268021
ACI113,anotador2,vandalism,0.780117,0.478219,0.235422,0.268021
ACI115,anotador1,accident,0.58293,0.640938,0.268922,0.125906
ACI115,anotador2,accident,0.58293,0.640938,0.268922,0.125906
ACI116,anotador1,accident,0.587711,0.626016,0.274891,0.151406
ACI116,anotador2,accident,0.587711,0.626016,0.274891,0.151406
ACI117,anotador1,accident,0.585469,0.627969,0.2875,0.159063
ACI117,anotador2,accident,0.585469,0.627969,0.2875,0.159063
ACI118,anotador1,accident,0.57875,0.623203,0.277188,0.137031
ACI118,anotador2,fall,0.57875,0.623203,0.277188,0.137031
ACI119,anotador1,accident,0.584812,0.625086,0.2835,0.141422
ACI119,anotador2,suspicious_behavior,0.584812,0.625086,0.2835,0.141422
ACI120,anotador1,accident,0.584063,0.624453,0.29,0.145156
ACI120,anotador2,accident,0.584063,0.624453,0.29,0.145156
ACI121,anotador1,accident,0.591328,0.620492,0.298594,0.134422
ACI121,anotador2,accident,0.591328,0.620492,0.298594,0.134422
ACI122,anotador1,accident,0.583469,0.630156,0.286188,0.149375
ACI122,anotador2,intrusion,0.583469,0.630156,0.286188,0.149375
ACI124,anotador1,accident,0.778031,0.44449,0.17875,0.200563
ACI124,anotador2,accident,0.778031,0.44449,0.17875,0.200563
ACI125,anotador1,accident,0.582969,0.627867,0.286875,0.139484
ACI125,anotador2,accident,0.582969,0.627867,0.286875,0.139484
ACI126,anotador1,accident,0.242047,0.400789,0.191594,0.154703
ACI126,anotador2,fire,0.242047,0.400789,0.191594,0.154703
ACI127,anotador1,accident,0.37157,0.357172,0.207766,0.213156
ACI127,anotador2,accident,0.37157,0.357172,0.207766,0.213156
ACI128,anotador1,accident,0.425586,0.311797,0.296016,0.149219
ACI128,anotador2,accident,0.425586,0.311797,0.296016,0.149219
ACI130,anotador1,accident,0.48443,0.285961,0.303359,0.125266
ACI130,anotador2,accident,0.48443,0.285961,0.303359,0.125266
ACI133,anotador1,accident,0.309641,0.457391,0.18575,0.112875
ACI133,anotador2,accident,0.309641,0.457391,0.18575,0.112875
ACI134,anotador1,accident,0.323937,0.452391,0.14575,0.114313
ACI134,anotador2,accident,0.323937,0.452391,0.14575,0.114313
ACI135,anotador1,accident,0.469289,0.55599,0.811266,0.372937
ACI135,anotador2,accident,0.469289,0.55599,0.811266,0.372937
ACI136,anotador1,accident,0.342508,0.45382,0.154328,0.151453
ACI136,anotador2,accident,0.342508,0.45382,0.154328,0.151453
ACI137,anotador1,accident,0.362508,0.468102,0.157172,0.137172
ACI137,anotador2,accident,0.362508,0.468102,0.157172,0.137172
ACI138,anotador1,accident,0.356078,0.468828,0.167187,0.130031
ACI138,anotador2,accident,0.356078,0.468828,0.167187,0.130031
ACI139,anotador1,accident,0.355367,0.46882,0.162891,0.127172
ACI139,anotador2,accident,0.355367,0.46882,0.162891,0.127172
ACI140,anotador1,accident,0.350367,0.474539,0.164328,0.132891
ACI140,anotador2,crime,0.350367,0.474539,0.164328,0.132891
ACI141,anotador1,accident,0.353227,0.482391,0.167172,0.134312
ACI141,anotador2,fall,0.353227,0.482391,0.167172,0.134312
ACI142,anotador1,accident,0.351086,0.48025,0.168609,0.13575
ACI142,anotador2,vandalism,0.351086,0.48025,0.168609,0.13575
ACI143,anotador1,accident,0.361086,0.484539,0.162891,0.138609
ACI143,anotador2,accident,0.361086,0.484539,0.162891,0.138609
ACI144,anotador1,accident,0.356797,0.484539,0.162906,0.138609
ACI144,anotador2,accident,0.356797,0.484539,0.162906,0.138609
ACI145,anotador1,accident,0.356797,0.483109,0.16575,0.150031
ACI145,anotador2,accident,0.356797,0.483109,0.16575,0.150031
ACI146,anotador1,accident,0.18582,0.540948,0.261484,0.377312
ACI146,anotador2,accident,0.18582,0.540948,0.261484,0.377312
ACI147,anotador1,accident,0.358227,0.487398,0.162891,0.147172
ACI147,anotador2,suspicious_behavior,0.358227,0.487398,0.162891,0.147172
ACI149,anotador1,accident,0.361086,0.48525,0.162891,0.151469
ACI149,anotador2,accident,0.361086,0.48525,0.162891,0.151469
ACI150,anotador1,accident,0.221766,0.372375,0.092875,0.051437
ACI150,anotador2,accident,0.221766,0.372375,0.092875,0.051437
ACI151,anotador1,accident,0.238195,0.373086,0.102891,0.052859
ACI151,anotador2,accident,0.238195,0.373086,0.102891,0.052859
ACI152,anotador1,accident,0.239625,0.377375,0.114312,0.052875
ACI152,anotador2,accident,0.239625,0.377375,0.114312,0.052875
ACI153,anotador1,accident,0.236773,0.380945,0.137172,0.051453
ACI153,anotador2,accident,0.236773,0.380945,0.137172,0.051453
ACI154,anotador1,accident,0.245344,0.388805,0.162906,0.055734
ACI154,anotador2,accident,0.245344,0.388805,0.162906,0.055734
ACI155,anotador1,accident,0.247484,0.388094,0.192906,0.051437
ACI155,anotador2,accident,0.247484,0.388094,0.192906,0.051437
ACI156,anotador1,accident,0.257516,0.390953,0.221531,0.057156
ACI156,anotador2,fall,0.257516,0.390953,0.221531,0.057156
ACI158,anotador1,accident,0.26057,0.394984,0.226734,0.056312
ACI158,anotador2,fall,0.26057,0.394984,0.226734,0.056312
ACI160,anotador1,accident,0.268719,0.397969,0.231188,0.068125
ACI160,anotador2,fall,0.268719,0.397969,0.231188,0.068125
ACI161,anotador1,accident,0.270953,0.400172,0.238594,0.0815
ACI161,anotador2,suspicious_object,0.270953,0.400172,0.238594,0.0815
ACI165,anotador1,accident,0.77482,0.367578,0.117078,0.084469
ACI165,anotador2,crime,0.77482,0.367578,0.117078,0.084469
ACI166,anotador1,accident,0.797391,0.399117,0.125594,0.134422
ACI166,anotador2,accident,0.797391,0.399117,0.125594,0.134422
ACI167,anotador1,accident,0.796844,0.401867,0.131094,0.144328
ACI167,anotador2,accident,0.796844,0.401867,0.131094,0.144328
ACI168,anotador1,accident,0.897516,0.299531,0.173594,0.179813
ACI168,anotador2,accident,0.897516,0.299531,0.173594,0.179813
ACI169,anotador1,accident,0.807859,0.415086,0.168563,0.144328
ACI169,anotador2,accident,0.807859,0.415086,0.168563,0.144328
ACI170,anotador1,accident,0.81557,0.42225,0.188391,0.147625
ACI170,anotador2,accident,0.81557,0.42225,0.188391,0.147625
ACI171,anotador1,accident,0.829344,0.43382,0.222562,0.155359
ACI171,anotador2,accident,0.829344,0.43382,0.222562,0.155359
ACI173,anotador1,accident,0.956602,0.414539,0.053984,0.052891
ACI173,anotador2,accident,0.956602,0.414539,0.053984,0.052891
ACI173,anotador1,accident,0.767094,0.459711,0.137719,0.132203
ACI173,anotador2,accident,0.767094,0.459711,0.137719,0.132203
ACI174,anotador1,accident,0.75718,0.465773,0.153141,0.131109
ACI174,anotador2,accident,0.75718,0.465773,0.153141,0.131109
ACI174,anotador1,accident,0.96982,0.423906,0.049578,0.056187
ACI174,anotador2,accident,0.96982,0.423906,0.049578,0.056187
ACI175,anotador1,accident,0.751672,0.47018,0.168563,0.142141
ACI175,anotador2,accident,0.751672,0.47018,0.168563,0.142141
ACI175,anotador1,accident,0.951086,0.414539,0.093641,0.072703
ACI175,anotador2,vandalism,0.951086,0.414539,0.093641,0.072703
ACI176,anotador1,accident,0.957148,0.420602,0.081516,0.076016
ACI176,anotador2,accident,0.957148,0.420602,0.081516,0.076016
ACI176,anotador1,accident,0.741203,0.475664,0.180688,0.146484
ACI176,anotador2,vandalism,0.741203,0.475664,0.180688,0.146484
ACI177,anotador1,accident,0.961555,0.420602,0.072703,0.076016
ACI177,anotador2,accident,0.961555,0.420602,0.072703,0.076016
ACI177,anotador1,accident,0.729086,0.476789,0.191703,0.135516
ACI177,anotador2,accident,0.729086,0.476789,0.191703,0.135516
ACI179,anotador1,accident,0.892484,0.302396,0.154937,0.166417
ACI179,anotador2,accident,0.892484,0.302396,0.154937,0.166417
ACI183,anotador1,accident,0.594672,0.49607,0.310687,0.191703
ACI183,anotador2,accident,0.594672,0.49607,0.310687,0.191703
ACI184,anotador1,accident,0.595781,0.490008,0.356969,0.197203
ACI184,anotador2,accident,0.595781,0.490008,0.356969,0.197203
ACI185,anotador1,accident,0.594672,0.478445,0.383406,0.178484
ACI185,anotador2,accident,0.594672,0.478445,0.383406,0.178484
ACI186,anotador1,accident,0.596883,0.476242,0.403234,0.191703
ACI186,anotador2,accident,0.596883,0.476242,0.403234,0.191703
ACI187,anotador1,accident,0.584211,0.467977,0.428578,0.188391
ACI187,anotador2,accident,0.584211,0.467977,0.428578,0.188391
ACI189,anotador1,accident,0.573742,0.471273,0.451703,0.208234
ACI189,anotador2,accident,0.573742,0.471273,0.451703,0.208234
ACI191,anotador1,accident,0.559445,0.465195,0.489234,0.209297
ACI191,anotador2,suspicious_behavior,0.559445,0.465195,0.489234,0.209297
ACI192,anotador1,accident,0.55832,0.467422,0.506797,0.229156
ACI192,anotador2,fall,0.55832,0.467422,0.506797,0.229156
ACI194,anotador1,accident,0.369914,0.416742,0.200516,0.123391
ACI194,anotador2,fire,0.369914,0.416742,0.200516,0.123391
ACI195,anotador1,accident,0.421695,0.442641,0.218141,0.146531
ACI195,anotador2,accident,0.421695,0.442641,0.218141,0.146531
ACI196,anotador1,accident,0.495516,0.471836,0.28425,0.178484
ACI196,anotador2,accident,0.495516,0.471836,0.28425,0.178484
ACI197,anotador1,accident,0.545094,0.509836,0.341531,0.239078
ACI197,anotador2,accident,0.545094,0.509836,0.341531,0.239078
ACI198,anotador1,accident,0.566578,0.524164,0.302969,0.256703
ACI198,anotador2,intrusion,0.566578,0.524164,0.302969,0.256703
ACI199,anotador1,accident,0.672344,0.562727,0.340438,0.329422
ACI199,anotador2,accident,0.672344,0.562727,0.340438,0.329422
ACI200,anotador1,accident,0.727984,0.589719,0.429687,0.365781
ACI200,anotador2,accident,0.727984,0.589719,0.429687,0.365781
ACI201,anotador1,accident,0.148773,0.724115,0.054547,0.055104
ACI201,anotador2,accident,0.148773,0.724115,0.054547,0.055104
ACI202,anotador1,accident,0.670695,0.427211,0.273234,0.179578
ACI202,anotador2,accident,0.670695,0.427211,0.273234,0.179578
ACI204,anotador1,accident,0.54725,0.545773,0.454281,0.274328
ACI204,anotador2,accident,0.54725,0.545773,0.454281,0.274328
ACI205,anotador1,accident,0.480875,0.562742,0.522125,0.302359
ACI205,anotador2,accident,0.480875,0.562742,0.522125,0.302359
ACI207,anotador1,accident,0.653445,0.460969,0.185828,0.107656
ACI207,anotador2,fall,0.653445,0.460969,0.185828,0.107656
ACI207,anotador1,accident,0.295555,0.65582,0.574016,0.231359
ACI207,anotador2,accident,0.295555,0.65582,0.574016,0.231359
ACI210,anotador1,accident,0.569305,0.304914,0.200453,0.122297
ACI210,anotador2,accident,0.569305,0.304914,0.200453,0.122297
ACI211,anotador1,accident,0.501031,0.287836,0.193906,0.105766
ACI211,anotador2,intrusion,0.501031,0.287836,0.193906,0.105766
ACI212,anotador1,accident,0.321469,0.62551,0.145438,0.131104
ACI212,anotador2,accident,0.321469,0.62551,0.145438,0.131104
ACI212,anotador1,accident,0.133789,0.721156,0.048672,0.050146
ACI212,anotador2,accident,0.133789,0.721156,0.048672,0.050146
ACI213,anotador1,accident,0.447039,0.27793,0.191703,0.105766
ACI213,anotador2,accident,0.447039,0.27793,0.191703,0.105766
ACI214,anotador1,accident,0.391953,0.268555,0.1895,0.095859
ACI214,anotador2,fall,0.391953,0.268555,0.1895,0.095859
ACI215,anotador1,accident,0.344578,0.265805,0.215937,0.083734
ACI215,anotador2,accident,0.344578,0.265805,0.215937,0.083734
ACI216,anotador1,accident,0.3275,0.263047,0.232469,0.082625
ACI216,anotador2,accident,0.3275,0.263047,0.232469,0.082625
ACI217,anotador1,accident,0.30932,0.263594,0.282047,0.081531
ACI217,anotador2,accident,0.30932,0.263594,0.282047,0.081531
ACI218,anotador1,accident,0.292242,0.261945,0.261109,0.082641
ACI218,anotador2,accident,0.292242,0.261945,0.261109,0.082641
ACI219,anotador1,accident,0.191984,0.272961,0.128906,0.062797
ACI219,anotador2,fire,0.191984,0.272961,0.128906,0.062797
ACI221,anotador1,accident,0.556664,0.359453,0.124484,0.085938
ACI221,anotador2,accident,0.556664,0.359453,0.124484,0.085938
ACI224,anotador1,accident,0.315273,0.628813,0.139641,0.142125
ACI224,anotador2,accident,0.315273,0.628813,0.139641,0.142125
ACI224,anotador1,accident,0.133242,0.733042,0.047578,0.050292
ACI224,anotador2,accident,0.133242,0.733042,0.047578,0.050292
ACI225,anotador1,accident,0.487258,0.384797,0.131109,0.103563
ACI225,anotador2,accident,0.487258,0.384797,0.131109,0.103563
ACI226,anotador1,accident,0.458055,0.396906,0.174078,0.116781
